customer_id,recency_days,recency_score,purchase_count,frequency_score,total_revenue,monetary_score,rfm_total_score,customer_segment
CUST0000001,1,5,11,3,12975.050000000001,4,12,High-Value Loyal
CUST0000002,1,5,14,4,3514.51,1,10,Loyal Frequent
CUST0000003,12,5,10,3,17149.49,5,13,High-Value Loyal
CUST0000004,20,5,17,4,12991.2,4,13,Champions
CUST0000005,191,2,10,3,2427.68,1,6,At-Risk Standard
CUST0000006,35,4,14,4,14166.85,4,12,High-Value Loyal
CUST0000007,22,5,16,4,18016.14,5,14,Champions
CUST0000008,36,4,14,4,5605.63,2,10,Loyal Frequent
CUST0000009,59,4,13,3,12304.81,4,11,High-Value Loyal
CUST0000010,1,5,17,4,7714.67,3,12,Loyal Frequent
CUST0000011,32,4,15,4,6579.37,2,10,Loyal Frequent
CUST0000012,37,4,7,2,3330.04,1,7,Standard Loyal
CUST0000013,183,2,4,2,462.0,1,5,At-Risk Standard
CUST0000014,11,5,14,4,13465.97,4,13,Champions
CUST0000015,185,2,12,3,2858.31,1,6,At-Risk Standard
CUST0000016,12,5,12,3,5425.03,2,10,Standard Loyal
CUST0000017,127,3,10,3,8023.9,3,9,Standard Loyal
CUST0000018,6,5,13,3,5334.91,2,10,Standard Loyal
CUST0000019,2,5,16,4,13358.08,4,13,Champions
CUST0000020,68,4,15,4,9705.98,3,11,Loyal Frequent
CUST0000021,4,5,16,4,9900.14,3,12,Loyal Frequent
CUST0000022,0,5,13,3,1849.06,1,9,Standard Loyal
CUST0000023,67,4,16,4,7896.97,3,11,Loyal Frequent
CUST0000024,5,5,12,3,8745.2,3,11,Standard Loyal
CUST0000025,35,4,13,3,5079.53,2,9,Standard Loyal
CUST0000026,55,4,8,2,4092.6099999999997,1,7,Standard Loyal
CUST0000027,33,4,10,3,10958.72,4,11,High-Value Loyal
CUST0000028,273,2,11,3,6492.87,2,7,At-Risk Standard
CUST0000029,60,4,15,4,5004.87,2,10,Loyal Frequent
CUST0000030,19,5,16,4,3572.56,1,10,Loyal Frequent
CUST0000031,27,5,12,3,4129.78,1,9,Standard Loyal
CUST0000032,14,5,6,2,6699.59,2,9,Standard Loyal
CUST0000033,13,5,8,2,9446.66,3,10,Standard Loyal
CUST0000034,28,5,10,3,6239.599999999999,2,10,Standard Loyal
CUST0000035,59,4,13,3,6795.15,2,9,Standard Loyal
CUST0000036,16,5,9,2,2094.56,1,8,Standard Loyal
CUST0000037,11,5,9,2,12074.41,4,11,High-Value Loyal
CUST0000038,86,4,15,4,10135.71,3,11,Loyal Frequent
CUST0000039,67,4,11,3,10463.17,3,10,Standard Loyal
CUST0000040,125,3,15,4,4864.5,2,9,Loyal Frequent
CUST0000041,23,5,10,3,7231.42,3,11,Standard Loyal
CUST0000042,60,4,8,2,1488.78,1,7,Standard Loyal
CUST0000043,26,5,10,3,5374.2699999999995,2,10,Standard Loyal
CUST0000044,16,5,8,2,3793.11,1,8,Standard Loyal
CUST0000045,5,5,11,3,7078.86,2,10,Standard Loyal
CUST0000046,6,5,13,3,5629.3,2,10,Standard Loyal
CUST0000047,102,3,17,4,13957.66,4,11,High-Value Loyal
CUST0000048,1,5,10,3,5317.889999999999,2,10,Standard Loyal
CUST0000049,17,5,11,3,4788.4400000000005,2,10,Standard Loyal
